WigleWifi-1.6,appRelease=v1.14,model=M5Stack GPS Unit,release=v1.14,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
C0:A3:6E:B6:60:A4,"SKYWIFI_9YUMR",[WPA2_PSK],2026-02-04 16:41:21,11,2462,-76,45.472083,7.867361,255.440000,0.900000,,,WIFI
14:14:59:97:2A:91,"Vodafone-A72456863",[WPA2_PSK],2026-02-04 16:41:21,2,2417,-85,45.472083,7.867361,255.440000,0.900000,,,WIFI
48:ED:E6:22:D8:71,"enel-WiFi_E622D871",[WPA2_WPA3_PSK],2026-02-04 16:41:21,9,2452,-85,45.472083,7.867361,255.440000,0.900000,,,WIFI
78:20:51:3C:CF:6A,"Wind3onAir",[WPA2_PSK],2026-02-04 16:41:21,2,2417,-89,45.472083,7.867361,255.440000,0.900000,,,WIFI
AC:15:A2:03:EB:D0,"TP-Link",[WPA2_PSK],2026-02-04 16:41:21,5,2432,-90,45.472083,7.867361,255.440000,0.900000,,,WIFI
32:B0:5D:99:1F:70,"Vodafone EXT",[WPA2_PSK],2026-02-04 16:41:21,9,2452,-92,45.472083,7.867361,255.440000,0.900000,,,WIFI
B8:D5:26:8B:8E:3E,"Wind3onAir",[WPA2_PSK],2026-02-04 16:41:21,2,2417,-93,45.472083,7.867361,255.440000,0.900000,,,WIFI
14:14:59:CC:9A:31,"Vodafone-A57436711",[WPA2_PSK],2026-02-04 16:41:21,5,2432,-93,45.472083,7.867361,255.440000,0.900000,,,WIFI
C8:D3:A3:56:48:92,"Wind3onEarth",[WPA_WPA2_PSK],2026-02-04 16:41:31,1,2412,-91,45.472093,7.867386,261.430000,0.700000,,,WIFI
C2:CC:21:33:93:71,"TIM-50317128",[WPA2_PSK],2026-02-04 16:42:09,1,2412,-91,45.472181,7.867021,251.860000,0.600000,,,WIFI
