WigleWifi-1.6,appRelease=v1.14,model=M5Stack GPS Unit,release=v1.14,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
08:16:05:91:15:B6,"Vodafone-E01541110",[WPA2_PSK],2026-02-05 19:42:20,12,2467,-85,45.474582,7.890943,240.920000,1.200000,,,WIFI
C2:24:3E:1D:FE:31,"TIM-59885491",[WPA2_PSK],2026-02-05 19:42:20,10,2457,-91,45.474582,7.890943,240.920000,1.200000,,,WIFI
98:48:27:8B:24:9D,"TP-LINK_8B249D",[WPA2_PSK],2026-02-05 19:42:20,6,2437,-92,45.474582,7.890943,240.920000,1.200000,,,WIFI
36:E6:E6:EE:4D:95,"[LG_Wall-Mount A/C]4d95",[WPA2_PSK],2026-02-05 19:42:20,11,2462,-92,45.474582,7.890943,240.920000,1.200000,,,WIFI
64:73:11:82:27:2d,"",Misc [BLE],2026-02-05 19:42:20,0,,-50,45.474582,7.890943,240.920000,1.200000,,004C,BLE
69:23:fc:de:33:fa,"",Misc [BLE],2026-02-05 19:42:20,0,,-59,45.474582,7.890943,240.920000,1.200000,,004C,BLE
7f:02:37:c7:42:ee,"",Misc [BLE],2026-02-05 19:42:20,0,,-48,45.474582,7.890943,240.920000,1.200000,,004C,BLE
d0:13:aa:1e:7f:0e,"",Misc [BLE],2026-02-05 19:42:20,0,,-49,45.474582,7.890943,240.920000,1.200000,,004C,BLE
ea:be:28:b6:71:c1,"",Misc [BLE],2026-02-05 19:42:20,0,,-60,45.474582,7.890943,240.920000,1.200000,,004C,BLE
cd:e6:b1:dc:78:e9,"",Misc [BLE],2026-02-05 19:42:20,0,,-58,45.474582,7.890943,240.920000,1.200000,,004C,BLE
e6:30:d7:35:e8:77,"BYD BLE3",Misc [BLE],2026-02-05 19:42:20,0,,-97,45.474582,7.890943,240.920000,1.200000,,30E6,BLE
78:db:e7:d5:f1:b0,"",Misc [BLE],2026-02-05 19:42:20,0,,-98,45.474582,7.890943,240.920000,1.200000,,,BLE
A6:36:C7:C4:C7:24,"[LG_Wall-Mount A/C]c724",[WPA2_PSK],2026-02-05 19:42:25,11,2462,-90,45.474439,7.890807,230.300000,1.200000,,,WIFI
9A:0C:7A:3D:89:24,"SKYWIFI_FQH3W",[WPA2_PSK],2026-02-05 19:42:25,1,2412,-91,45.474439,7.890807,230.300000,1.200000,,,WIFI
A2:B5:3C:1B:0D:DA,"TNCAP1BADDA",[WPA2_PSK],2026-02-05 19:42:25,6,2437,-93,45.474439,7.890807,230.300000,1.200000,,,WIFI
62:14:59:AD:95:A4,"Vodafone-Guest",[WPA2_PSK],2026-02-05 19:42:25,9,2452,-93,45.474439,7.890807,230.300000,1.200000,,,WIFI
69:9b:c2:34:25:1f,"",Misc [BLE],2026-02-05 19:42:25,0,,-90,45.474439,7.890807,230.300000,1.200000,,00E0,BLE
ea:2a:a7:64:25:dd,"",Misc [BLE],2026-02-05 19:42:25,0,,-97,45.474439,7.890807,230.300000,1.200000,,004C,BLE
a0:d0:5b:c9:1b:05,"",Misc [BLE],2026-02-05 19:42:25,0,,-96,45.474439,7.890807,230.300000,1.200000,,0075,BLE
68:fc:ca:b7:1e:79,"",Misc [BLE],2026-02-05 19:42:25,0,,-92,45.474439,7.890807,230.300000,1.200000,,0075,BLE
40:5a:f9:9d:35:16,"",Misc [BLE],2026-02-05 19:42:25,0,,-92,45.474439,7.890807,230.300000,1.200000,,,BLE
14:bb:6e:ae:96:49,"",Misc [BLE],2026-02-05 19:42:25,0,,-95,45.474439,7.890807,230.300000,1.200000,,0075,BLE
2a:c5:c8:dc:ad:a6,"",Misc [BLE],2026-02-05 19:42:25,0,,-93,45.474439,7.890807,230.300000,1.200000,,0065,BLE
15:43:d9:c3:22:df,"",Misc [BLE],2026-02-05 19:42:25,0,,-96,45.474439,7.890807,230.300000,1.200000,,004C,BLE
6f:38:fe:8e:31:f8,"",Misc [BLE],2026-02-05 19:42:25,0,,-96,45.474439,7.890807,230.300000,1.200000,,004C,BLE
d0:03:df:da:e6:a1,"",Misc [BLE],2026-02-05 19:42:25,0,,-95,45.474439,7.890807,230.300000,1.200000,,0075,BLE
0d:d6:da:bf:50:cb,"",Misc [BLE],2026-02-05 19:42:25,0,,-94,45.474439,7.890807,230.300000,1.200000,,004C,BLE
ed:73:8d:43:95:4f,"Abatjour soggiorno",Misc [BLE],2026-02-05 19:42:25,0,,-95,45.474439,7.890807,230.300000,1.200000,,,BLE
68:10:6c:83:92:8c,"",Misc [BLE],2026-02-05 19:42:25,0,,-99,45.474439,7.890807,230.300000,1.200000,,,BLE
