WigleWifi-1.6,appRelease=v1.14,model=M5Stack GPS Unit,release=v1.14,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
08:3A:2F:A5:20:3A,"NVR083a2fa5203a",[WPA2_PSK],2026-02-05 19:46:04,14,2484,-84,45.470102,7.911445,225.540000,0.800000,,,WIFI
30:37:B3:66:82:FA,"Villa_dei_Fiori-2g",[WPA2_PSK],2026-02-05 19:46:09,11,2462,-88,45.470220,7.911966,229.200000,0.800000,,,WIFI
A8:63:7D:38:86:F0,"SHARPORT_WIFI",[WPA2_PSK],2026-02-05 19:46:09,6,2437,-90,45.470220,7.911966,229.200000,0.800000,,,WIFI
3C:64:CF:BB:3D:6C,"CVWG_PV",[WPA2_PSK],2026-02-05 19:46:09,3,2422,-95,45.470220,7.911966,229.200000,0.800000,,,WIFI
14:14:59:09:48:71,"Vodafone-A84722551",[WPA2_PSK],2026-02-05 19:46:25,11,2462,-82,45.470788,7.914914,238.720000,0.800000,,,WIFI
D4:76:A0:F6:0B:08,"AT-Free",[OPEN],2026-02-05 19:46:25,11,2462,-88,45.470788,7.914914,238.720000,0.800000,,,WIFI
94:83:C4:17:57:E5,"NexionNet-7e5",[WPA2_PSK],2026-02-05 19:46:25,11,2462,-88,45.470788,7.914914,238.720000,0.800000,,,WIFI
D4:76:A0:F6:0B:0B,"TOTEM",[OPEN],2026-02-05 19:46:25,11,2462,-89,45.470788,7.914914,238.720000,0.800000,,,WIFI
D4:76:A0:D6:F7:33,"TOTEM",[OPEN],2026-02-05 19:46:25,6,2437,-90,45.470788,7.914914,238.720000,0.800000,,,WIFI
D4:76:A0:D6:F7:34,"Wallbox",[WPA2_PSK],2026-02-05 19:46:25,6,2437,-90,45.470788,7.914914,238.720000,0.800000,,,WIFI
D4:76:A0:F6:0B:0C,"Wallbox",[WPA2_PSK],2026-02-05 19:46:25,11,2462,-92,45.470788,7.914914,238.720000,0.800000,,,WIFI
E2:BB:9E:3D:F4:39,"DIRECT-Gq-EPSON-ET-4850 Series",[WPA2_PSK],2026-02-05 19:46:25,11,2462,-92,45.470788,7.914914,238.720000,0.800000,,,WIFI
80:16:05:22:D0:B1,"Vodafone-A88461712",[WPA2_PSK],2026-02-05 19:46:25,2,2417,-93,45.470788,7.914914,238.720000,0.800000,,,WIFI
36:E6:E6:EC:7F:C9,"[LG_Wall-Mount A/C]7fc9",[WPA2_PSK],2026-02-05 19:46:32,11,2462,-85,45.471066,7.916393,240.120000,0.800000,,,WIFI
36:E6:E6:EC:AB:DF,"[LG_Wall-Mount A/C]abdf",[WPA2_PSK],2026-02-05 19:46:32,11,2462,-86,45.471066,7.916393,240.120000,0.800000,,,WIFI
E2:85:4D:2D:BF:FF,"[LG_Wall-Mount A/C]bfff",[WPA2_PSK],2026-02-05 19:46:32,11,2462,-87,45.471066,7.916393,240.120000,0.800000,,,WIFI
D4:76:A0:F6:04:6B,"TOTEM",[OPEN],2026-02-05 19:46:32,1,2412,-89,45.471066,7.916393,240.120000,0.800000,,,WIFI
36:E6:E6:EE:A3:80,"[LG_Wall-Mount A/C]a380",[WPA2_PSK],2026-02-05 19:46:32,11,2462,-89,45.471066,7.916393,240.120000,0.800000,,,WIFI
74:36:6D:EE:FA:C4,"Vodafone-A60704220",[WPA2_PSK],2026-02-05 19:46:32,2,2417,-91,45.471066,7.916393,240.120000,0.800000,,,WIFI
78:81:02:78:BA:D4,"Ospiti-Pollicino",[WPA2_PSK],2026-02-05 19:46:40,1,2412,-84,45.471359,7.918008,239.090000,0.800000,,,WIFI
78:81:02:78:BA:D3,"TIM-57021882",[WPA2_PSK],2026-02-05 19:46:40,1,2412,-87,45.471359,7.918008,239.090000,0.800000,,,WIFI
20:B0:01:9C:96:51,"TIM-27039313",[WPA2_PSK],2026-02-05 19:46:40,6,2437,-88,45.471359,7.918008,239.090000,0.800000,,,WIFI
8C:86:DD:D5:C9:E8,"TP-Link_C9E8",[WPA2_PSK],2026-02-05 19:46:40,11,2462,-91,45.471359,7.918008,239.090000,0.800000,,,WIFI
24:5A:4C:7C:BE:E0,"magazwifi",[WPA2_PSK],2026-02-05 19:46:40,6,2437,-92,45.471359,7.918008,239.090000,0.800000,,,WIFI
28:EE:52:E7:3A:96,"laserracar5fibra",[WPA_WPA2_PSK],2026-02-05 19:46:40,3,2422,-93,45.471359,7.918008,239.090000,0.800000,,,WIFI
D2:77:DA:64:95:35,"TIM-66343562",[WPA2_PSK],2026-02-05 19:46:40,11,2462,-95,45.471359,7.918008,239.090000,0.800000,,,WIFI
74:36:6D:84:62:04,"Vodafone-A67888678",[WPA2_PSK],2026-02-05 19:46:48,12,2467,-77,45.471705,7.919689,238.380000,0.700000,,,WIFI
C2:07:1D:B7:E5:BE,"Inner_QRcode",[WPA2_PSK],2026-02-05 19:46:48,13,2472,-89,45.471705,7.919689,238.380000,0.700000,,,WIFI
BC:07:1D:B7:E5:BE,"AP_01",[WPA2_PSK],2026-02-05 19:46:48,13,2472,-90,45.471705,7.919689,238.380000,0.700000,,,WIFI
A4:91:B1:65:CE:15,"TIM-23449109",[WPA2_PSK],2026-02-05 19:46:48,11,2462,-91,45.471705,7.919689,238.380000,0.700000,,,WIFI
92:49:43:79:8B:A5,"TIM-35296653",[WPA2_PSK],2026-02-05 19:46:48,9,2452,-92,45.471705,7.919689,238.380000,0.700000,,,WIFI
BC:CF:4F:2E:04:16,"Home&Life SuperWiFi-0416",[WPA2_PSK],2026-02-05 19:46:48,10,2457,-93,45.471705,7.919689,238.380000,0.700000,,,WIFI
94:F3:92:19:1C:2A,"INOXTEK-PROD",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-82,45.472524,7.923458,235.580000,0.700000,,,WIFI
DA:B3:2F:6A:75:E8,"DIRECT-e8-HP M209 LaserJet",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-83,45.472524,7.923458,235.580000,0.700000,,,WIFI
94:F3:92:19:1C:2B,"INOXTEK-GUEST",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-83,45.472524,7.923458,235.580000,0.700000,,,WIFI
94:F3:92:19:1C:2C,"WiFi-Impianti",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-84,45.472524,7.923458,235.580000,0.700000,,,WIFI
94:F3:92:19:1C:28,"INOXTEK-WiFi",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-85,45.472524,7.923458,235.580000,0.700000,,,WIFI
D0:27:87:3F:29:A0,"AP_3109101393",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-85,45.472524,7.923458,235.580000,0.700000,,,WIFI
68:D7:9A:1A:AB:56,"DCL",[WPA2_PSK],2026-02-05 19:47:10,6,2437,-88,45.472524,7.923458,235.580000,0.700000,,,WIFI
74:EE:2A:93:D3:4D,"SNRS_93D34D",[WPA2_PSK],2026-02-05 19:47:10,1,2412,-91,45.472524,7.923458,235.580000,0.700000,,,WIFI
96:59:43:6F:E0:26,"TIM-85994857",[WPA2_PSK],2026-02-05 19:47:10,10,2457,-96,45.472524,7.923458,235.580000,0.700000,,,WIFI
B6:FB:F9:A5:37:CF,"TURBO-CAMION",[WPA2_PSK],2026-02-05 19:47:15,1,2412,-86,45.473036,7.923093,237.170000,0.700000,,,WIFI
6E:D7:9A:11:7E:5B,"dlb_Opspiti",[OPEN],2026-02-05 19:47:15,6,2437,-87,45.473036,7.923093,237.170000,0.700000,,,WIFI
62:FA:9D:AA:3F:9D,"NUOVA-OMAC-2g",[WPA2_PSK],2026-02-05 19:47:15,11,2462,-87,45.473036,7.923093,237.170000,0.700000,,,WIFI
68:D7:9A:11:7E:5B,"dlb",[WPA2_PSK],2026-02-05 19:47:15,6,2437,-90,45.473036,7.923093,237.170000,0.700000,,,WIFI
2E:5A:4C:24:95:1D,"prttermostati",[WPA2_PSK],2026-02-05 19:47:15,1,2412,-91,45.473036,7.923093,237.170000,0.700000,,,WIFI
F0:09:0D:44:17:60,"Eolo_441760",[WPA2_PSK],2026-02-05 19:47:15,11,2462,-94,45.473036,7.923093,237.170000,0.700000,,,WIFI
50:2C:C6:9A:96:B0,"c69a96b0",[WPA2_PSK],2026-02-05 19:47:23,1,2412,-87,45.474135,7.922570,234.430000,0.700000,,,WIFI
0C:0E:76:38:CB:90,"BridgeMachining",[WPA_WPA2_PSK],2026-02-05 19:47:23,1,2412,-90,45.474135,7.922570,234.430000,0.700000,,,WIFI
B6:8B:A9:97:17:63,"prttermostati",[WPA2_PSK],2026-02-05 19:47:23,6,2437,-90,45.474135,7.922570,234.430000,0.700000,,,WIFI
B6:FB:E4:77:E2:2E,"bridgeGuest",[WPA2_PSK],2026-02-05 19:47:23,6,2437,-93,45.474135,7.922570,234.430000,0.700000,,,WIFI
B4:FB:E4:77:E2:2E,"bridgeautomationWiFi",[WPA2_PSK],2026-02-05 19:47:23,6,2437,-94,45.474135,7.922570,234.430000,0.700000,,,WIFI
F0:87:56:43:07:A1,"Wind3 HUB-4307A1",[WPA2_WPA3_PSK],2026-02-05 19:48:01,1,2412,-94,45.478254,7.920137,230.360000,0.800000,,,WIFI
F0:B0:14:CB:79:DE,"EOLO - FRITZ!Box 7430 DW",[WPA2_PSK],2026-02-05 19:48:29,6,2437,-90,45.479000,7.917195,232.020000,0.700000,,,WIFI
04:95:E6:56:25:69,"iliadbox-2D59DC_EXT",[WPA_WPA2_PSK],2026-02-05 19:48:36,11,2462,-94,45.479065,7.915328,230.110000,0.700000,,,WIFI
74:42:7F:24:82:96,"FRITZ!Box 7530 AM",[WPA2_WPA3_PSK],2026-02-05 19:48:44,1,2412,-79,45.479006,7.913135,231.240000,0.700000,,,WIFI
B0:8B:92:F7:AD:F4,"Wind3 HUB - F7ADF4",[WPA2_PSK],2026-02-05 19:48:44,6,2437,-91,45.479006,7.913135,231.240000,0.700000,,,WIFI
7C:F1:7E:EE:64:F2,"TP-Link_64F2",[WPA2_PSK],2026-02-05 19:48:44,1,2412,-93,45.479006,7.913135,231.240000,0.700000,,,WIFI
