WigleWifi-1.6,appRelease=v1.14,model=M5Stack GPS Unit,release=v1.14,device=ESP32 M5Stack,display=SPI TFT,board=ESP32 M5Stack,brand=Bruce,star=Sol,body=4,subBody=1
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
80:16:05:F6:0F:68,"Vodafone-k",[WPA2_PSK],2026-02-04 15:30:59,12,2467,-77,45.474355,7.892714,248.560000,0.700000,,,WIFI
26:FB:E3:FD:DB:A3,"DIRECT-a3-HP M140 LaserJet",[WPA2_PSK],2026-02-04 15:30:59,11,2462,-88,45.474355,7.892714,248.560000,0.700000,,,WIFI
08:16:05:B1:16:96,"Vodafone-E56607178",[WPA2_PSK],2026-02-04 15:30:59,2,2417,-90,45.474355,7.892714,248.560000,0.700000,,,WIFI
60:1B:52:08:80:E6,"VodafoneART",[WPA2_PSK],2026-02-04 15:30:59,13,2472,-91,45.474355,7.892714,248.560000,0.700000,,,WIFI
62:16:05:B1:16:99,"Vodafone-Guest",[WPA2_PSK],2026-02-04 15:30:59,2,2417,-92,45.474355,7.892714,248.560000,0.700000,,,WIFI
3A:07:16:52:E7:F4,"iliadbox-1FE74A",[WPA2_PSK],2026-02-04 15:30:59,11,2462,-93,45.474355,7.892714,248.560000,0.700000,,,WIFI
30:16:9D:4A:67:AD,"MERCUSYS_67AD",[WPA2_PSK],2026-02-04 15:30:59,4,2427,-96,45.474355,7.892714,248.560000,0.700000,,,WIFI
72:6d:46:e0:ca:e3,"",Misc [BLE],2026-02-04 15:30:59,0,,-80,45.474355,7.892714,248.560000,0.700000,,004C,BLE
15:ea:74:83:4c:1a,"",Misc [BLE],2026-02-04 15:30:59,0,,-94,45.474355,7.892714,248.560000,0.700000,,004C,BLE
72:f1:0a:f6:25:43,"",Misc [BLE],2026-02-04 15:30:59,0,,-56,45.474355,7.892714,248.560000,0.700000,,004C,BLE
48:07:58:36:81:3f,"",Misc [BLE],2026-02-04 15:30:59,0,,-49,45.474355,7.892714,248.560000,0.700000,,004C,BLE
6b:78:dd:fe:d0:8b,"",Misc [BLE],2026-02-04 15:30:59,0,,-75,45.474355,7.892714,248.560000,0.700000,,004C,BLE
28:a3:be:31:4f:5f,"",Misc [BLE],2026-02-04 15:30:59,0,,-48,45.474355,7.892714,248.560000,0.700000,,004C,BLE
3a:ca:84:a6:66:64,"",Misc [BLE],2026-02-04 15:30:59,0,,-95,45.474355,7.892714,248.560000,0.700000,,0065,BLE
4c:4a:6d:bf:77:d3,"",Misc [BLE],2026-02-04 15:30:59,0,,-49,45.474355,7.892714,248.560000,0.700000,,004C,BLE
61:c5:be:3f:53:55,"",Misc [BLE],2026-02-04 15:30:59,0,,-59,45.474355,7.892714,248.560000,0.700000,,004C,BLE
79:91:43:53:d3:37,"",Misc [BLE],2026-02-04 15:30:59,0,,-60,45.474355,7.892714,248.560000,0.700000,,004C,BLE
0d:7d:76:7f:7a:06,"",Misc [BLE],2026-02-04 15:30:59,0,,-95,45.474355,7.892714,248.560000,0.700000,,004C,BLE
dc:2f:ba:1f:64:96,"HRMPro+:336334",Misc [BLE],2026-02-04 15:30:59,0,,-52,45.474355,7.892714,248.560000,0.700000,,0087,BLE
f8:c4:1f:59:d2:da,"",Misc [BLE],2026-02-04 15:30:59,0,,-65,45.474355,7.892714,248.560000,0.700000,,004C,BLE
68:39:95:32:76:a8,"",Misc [BLE],2026-02-04 15:30:59,0,,-65,45.474355,7.892714,248.560000,0.700000,,004C,BLE
e5:6e:da:b0:e1:b6,"",Misc [BLE],2026-02-04 15:30:59,0,,-58,45.474355,7.892714,248.560000,0.700000,,004C,BLE
eb:c9:f5:68:14:8d,"",Misc [BLE],2026-02-04 15:30:59,0,,-59,45.474355,7.892714,248.560000,0.700000,,004C,BLE
f0:7a:72:81:ab:cd,"",Misc [BLE],2026-02-04 15:30:59,0,,-65,45.474355,7.892714,248.560000,0.700000,,004C,BLE
7d:a9:b8:61:00:01,"",Misc [BLE],2026-02-04 15:30:59,0,,-80,45.474355,7.892714,248.560000,0.700000,,004C,BLE
c7:60:85:c8:ec:b9,"",Misc [BLE],2026-02-04 15:30:59,0,,-48,45.474355,7.892714,248.560000,0.700000,,004C,BLE
ce:ad:f4:a6:33:bc,"",Misc [BLE],2026-02-04 15:30:59,0,,-57,45.474355,7.892714,248.560000,0.700000,,004C,BLE
2a:88:ab:ec:66:1d,"",Misc [BLE],2026-02-04 15:30:59,0,,-96,45.474355,7.892714,248.560000,0.700000,,0006,BLE
f3:42:31:78:36:4b,"",Misc [BLE],2026-02-04 15:30:59,0,,-89,45.474355,7.892714,248.560000,0.700000,,,BLE
0A:A6:BC:70:95:EC,"DIRECT-v9-FireTV_9f29",[WPA2_PSK],2026-02-04 15:31:14,13,2472,-79,45.474394,7.892691,240.390000,0.600000,,,WIFI
46:A7:AE:8A:8D:D2,"TIM-79459234",[WPA2_PSK],2026-02-04 15:31:14,7,2442,-85,45.474394,7.892691,240.390000,0.600000,,,WIFI
DC:51:93:29:41:EC,"TIM-74469484",[WPA2_PSK],2026-02-04 15:31:14,9,2452,-91,45.474394,7.892691,240.390000,0.600000,,,WIFI
50:5A:65:E1:32:1A,"AP-WH3E-505A65E13219",[WPA2_PSK],2026-02-04 15:31:14,4,2427,-92,45.474394,7.892691,240.390000,0.600000,,,WIFI
58:D9:D5:26:ED:18,"Tenda_26ED18",[WPA_WPA2_PSK],2026-02-04 15:31:14,7,2442,-93,45.474394,7.892691,240.390000,0.600000,,,WIFI
68:27:37:86:3a:30,"",Misc [BLE],2026-02-04 15:31:14,0,,-94,45.474394,7.892691,240.390000,0.600000,,0075,BLE
1d:ce:f2:10:b8:c9,"",Misc [BLE],2026-02-04 15:31:14,0,,-99,45.474394,7.892691,240.390000,0.600000,,0006,BLE
3d:e9:65:f7:dc:b7,"",Misc [BLE],2026-02-04 15:31:14,0,,-95,45.474394,7.892691,240.390000,0.600000,,004C,BLE
c1:8e:81:07:b3:3e,"",Misc [BLE],2026-02-04 15:31:19,0,,-93,45.474372,7.892676,237.920000,0.600000,,004C,BLE
FC:12:2C:A8:84:D4,"SDongleA-NS2471051091",[WPA2_PSK],2026-02-04 15:31:32,11,2462,-90,45.474348,7.892691,235.580000,0.600000,,,WIFI
9C:B2:E8:F8:78:DB,"SUN2000-HV2260021975",[WPA2_PSK],2026-02-04 15:31:32,11,2462,-90,45.474348,7.892691,235.580000,0.600000,,,WIFI
A8:FF:BA:FA:BD:BA,"SCharger-7KS-S0-NS2341071440",[WPA2_PSK],2026-02-04 15:31:45,1,2412,-92,45.474318,7.892705,236.160000,0.700000,,,WIFI
77:17:14:17:11:8f,"",Misc [BLE],2026-02-04 15:31:57,0,,-77,45.474264,7.892707,236.980000,2.800000,,004C,BLE
67:88:3c:32:a2:1e,"",Misc [BLE],2026-02-04 15:31:57,0,,-50,45.474264,7.892707,236.980000,2.800000,,004C,BLE
30:16:9D:83:61:3C,"MERCUSYS_67AD",[WPA2_PSK],2026-02-04 15:35:07,4,2427,-79,45.474087,7.892976,237.660000,0.600000,,,WIFI
C8:EA:F8:A1:54:D1,"VF_IT_FWA_54D1",[WPA2_WPA3_PSK],2026-02-04 15:35:07,11,2462,-79,45.474087,7.892976,237.660000,0.600000,,,WIFI
3A:07:16:3F:EB:A4,"iliadbox-25D7FC",[WPA2_PSK],2026-02-04 15:35:07,11,2462,-80,45.474087,7.892976,237.660000,0.600000,,,WIFI
6C:A0:B4:3A:AB:DC,"SKYWIFI_6EKKB",[WPA2_PSK],2026-02-04 15:35:07,1,2412,-84,45.474087,7.892976,237.660000,0.600000,,,WIFI
C0:49:43:9B:99:A4,"TIM-90526745",[WPA2_PSK],2026-02-04 15:35:07,11,2462,-84,45.474087,7.892976,237.660000,0.600000,,,WIFI
A6:B6:68:01:AF:AA,"TIM-DorinaGuido",[WPA2_PSK],2026-02-04 15:35:07,1,2412,-88,45.474087,7.892976,237.660000,0.600000,,,WIFI
C8:54:4B:AC:9E:AD,"Home&Life SuperWiFi-9EAD",[WPA2_PSK],2026-02-04 15:35:07,2,2417,-90,45.474087,7.892976,237.660000,0.600000,,,WIFI
D6:35:1D:CE:4D:98,"TIM-31656856",[WPA2_PSK],2026-02-04 15:35:07,11,2462,-90,45.474087,7.892976,237.660000,0.600000,,,WIFI
